,country,capital,lat,long,lat_decimal,long_decimal
84,Heard Island and McDonald Islands,,53°00'S,74°00'E,-53,74
85,Honduras,Tegucigalpa,14°05'N,87°14'W,14.08333333,-87.23333333
86,Hungary,Budapest,47°29'N,19°05'E,47.48333333,19.08333333
87,Iceland,Reykjavik,64°10'N,21°57'W,64.16666667,-21.95
88,India,New Delhi,28°37'N,77°13'E,28.61666667,77.21666667
89,Indonesia,Jakarta,06°09'S,106°49'E,-6.15,106.8166667
90,Iran,Tehran,35°44'N,51°30'E,35.73333333,51.5
91,Iraq,Baghdad,33°20'N,44°30'E,33.33333333,44.5
92,Ireland,Dublin,53°21'N,06°15'W,53.35,-6.25
93,Israel,Jerusalem,31°47'N,35°12'E,31.78333333,35.2
94,Italy,Rome,41°54'N,12°29'E,41.9,12.48333333
95,Jamaica,Kingston,18°00'N,76°50'W,18,-76.83333333
96,Jordan,Amman,31°57'N,35°52'E,31.95,35.86666667
97,Kazakhstan,Astana,51°10'N,71°30'E,51.16666667,71.5
98,Kenya,Nairobi,01°17'S,36°48'E,-1.283333333,36.8
99,Kiribati,Tarawa,01°30'N,173°00'E,1.5,173
100,Kuwait,Kuwait,29°30'N,48°00'E,29.5,48
101,Kyrgyzstan,Bishkek,42°54'N,74°46'E,42.9,74.76666667
102,Lao People's Democratic Republic,Vientiane,17°58'N,102°36'E,17.96666667,102.6
103,Latvia,Riga,56°53'N,24°08'E,56.88333333,24.13333333
104,Lebanon,Beirut,33°53'N,35°31'E,33.88333333,35.51666667
105,Lesotho,Maseru,29°18'S,27°30'E,-29.3,27.5
106,Liberia,Monrovia,06°18'N,10°47'W,6.3,-10.78333333
107,Libyan Arab Jamahiriya,Tripoli,32°49'N,13°07'E,32.81666667,13.11666667
108,Liechtenstein,Vaduz,47°08'N,09°31'E,47.13333333,9.516666667
109,Lithuania,Vilnius,54°38'N,25°19'E,54.63333333,25.31666667
110,Luxembourg,Luxembourg,49°37'N,06°09'E,49.61666667,6.15
111,"Macao, China",Macau,22°12'N,113°33'E,22.2,113.55
112,Madagascar,Antananarivo,18°55'S,47°31'E,-18.91666667,47.51666667
113,Malawi,Lilongwe,14°00'S,33°48'E,-14,33.8
114,Malaysia,Kuala Lumpur,03°09'N,101°41'E,3.15,101.6833333
115,Maldives,Male,04°00'N,73°28'E,4,73.46666667
116,Mali,Bamako,12°34'N,07°55'W,12.56666667,-7.916666667
117,Malta,Valletta,35°54'N,14°31'E,35.9,14.51666667
118,Martinique,Fort-de-France,14°36'N,61°02'W,14.6,-61.03333333
119,Mauritania,Nouakchott,20°10'S,57°30'E,-20.16666667,57.5
120,Mayotte,Mamoudzou,12°48'S,45°14'E,-12.8,45.23333333
121,Mexico,Mexico,19°20'N,99°10'W,19.33333333,-99.16666667
122,Micronesia (Federated States of),Palikir,06°55'N,158°09'E,6.916666667,158.15
123,"Moldova, Republic of",Chisinau,47°02'N,28°50'E,47.03333333,28.83333333
124,Mozambique,Maputo,25°58'S,32°32'E,-25.96666667,32.53333333
125,Myanmar,Yangon,16°45'N,96°20'E,16.75,96.33333333
126,Namibia,Windhoek,22°35'S,17°04'E,-22.58333333,17.06666667
127,Nepal,Kathmandu,27°45'N,85°20'E,27.75,85.33333333
128,Netherlands,Amsterdam/The Hague (seat of Gvnt),52°23'N,04°54'E,52.38333333,4.9
129,Netherlands Antilles,Willemstad,12°05'N,69°00'W,12.08333333,-69
130,New Caledonia,Noumea,22°17'S,166°30'E,-22.28333333,166.5
131,New Zealand,Wellington,41°19'S,174°46'E,-41.31666667,174.7666667
132,Nicaragua,Managua,12°06'N,86°20'W,12.1,-86.33333333
133,Niger,Niamey,13°27'N,02°06'E,13.45,2.1
134,Nigeria,Abuja,09°05'N,07°32'E,9.083333333,7.533333333
135,Norfolk Island,Kingston,45°20'S,168°43'E,-45.33333333,168.7166667
136,Northern Mariana Islands,Saipan,15°12'N,145°45'E,15.2,145.75
137,Norway,Oslo,59°55'N,10°45'E,59.91666667,10.75
138,Oman,Masqat,23°37'N,58°36'E,23.61666667,58.6
139,Pakistan,Islamabad,33°40'N,73°10'E,33.66666667,73.16666667
140,Palau,Koror,07°20'N,134°28'E,7.333333333,134.4666667
141,Panama,Panama,09°00'N,79°25'W,9,-79.41666667
142,Papua New Guinea,Port Moresby,09°24'S,147°08'E,-9.4,147.1333333
143,Paraguay,Asuncion,25°10'S,57°30'W,-25.16666667,-57.5
144,Peru,Lima,12°00'S,77°00'W,-12,-77
145,Philippines,Manila,14°40'N,121°03'E,14.66666667,121.05
146,Poland,Warsaw,52°13'N,21°00'E,52.21666667,21
147,Portugal,Lisbon,38°42'N,09°10'W,38.7,-9.166666667
148,Puerto Rico,San Juan,18°28'N,66°07'W,18.46666667,-66.11666667
149,Qatar,Doha,25°15'N,51°35'E,25.25,51.58333333
150,Republic of Korea,Seoul,37°31'N,126°58'E,37.51666667,126.9666667
151,Romania,Bucuresti,44°27'N,26°10'E,44.45,26.16666667
152,Russian Federation,Moskva,55°45'N,37°35'E,55.75,37.58333333
153,Rawanda,Kigali,01°59'S,30°04'E,-1.983333333,30.06666667
154,Saint Kitts and Nevis,Basseterre,17°17'N,62°43'W,17.28333333,-62.71666667
155,Saint Lucia,Castries,14°02'N,60°58'W,14.03333333,-60.96666667
156,Saint Pierre and Miquelon,Saint-Pierre,46°46'N,56°12'W,46.76666667,-56.2
157,Saint vincent and the Grenadines,Kingstown,13°10'N,61°10'W,13.16666667,-61.16666667
158,Samoa,Apia,13°50'S,171°50'W,-13.83333333,-171.8333333
159,San Marino,San Marino,43°55'N,12°30'E,43.91666667,12.5
160,Sao Tome and Principe,Sao Tome,00°10'N,06°39'E,0.166666667,6.65
161,Saudi Arabia,Riyadh,24°41'N,46°42'E,24.68333333,46.7
162,Senegal,Dakar,14°34'N,17°29'W,14.56666667,-17.48333333
163,Sierra Leone,Freetown,08°30'N,13°17'W,8.5,-13.28333333
164,Slovakia,Bratislava,48°10'N,17°07'E,48.16666667,17.11666667
165,Slovenia,Ljubljana,46°04'N,14°33'E,46.06666667,14.55
166,Solomon Islands,Honiara,09°27'S,159°57'E,-9.45,159.95
167,Somalia,Mogadishu,02°02'N,45°25'E,2.033333333,45.41666667
168,South Africa,Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),25°44'S,28°12'E,-25.73333333,28.2
169,Spain,Madrid,40°25'N,03°45'W,40.41666667,-3.75
170,Sudan,Khartoum,15°31'N,32°35'E,15.51666667,32.58333333
171,Suriname,Paramaribo,05°50'N,55°10'W,5.833333333,-55.16666667
172,Swaziland,Mbabane (Adm.),26°18'S,31°06'E,-26.3,31.1
173,Sweden,Stockholm,59°20'N,18°03'E,59.33333333,18.05
174,Switzerland,Bern,46°57'N,07°28'E,46.95,7.466666667
175,Syrian Arab Republic,Damascus,33°30'N,36°18'E,33.5,36.3
176,Tajikistan,Dushanbe,38°33'N,68°48'E,38.55,68.8
177,Thailand,Bangkok,13°45'N,100°35'E,13.75,100.5833333
178,"Macedonia, North",Skopje,42°01'N,21°26'E,42.01666667,21.43333333
179,Togo,Lome,06°09'N,01°20'E,6.15,1.333333333
180,Tonga,Nuku'alofa,21°10'S,174°00'W,-21.16666667,-174
181,Tunisia,Tunis,36°50'N,10°11'E,36.83333333,10.18333333
182,Turkey,Ankara,39°57'N,32°54'E,39.95,32.9
183,Turkmenistan,Ashgabat,38°00'N,57°50'E,38,57.83333333
184,Tuvalu,Funafuti,08°31'S,179°13'E,-8.516666667,179.2166667
185,Uganda,Kampala,00°20'N,32°30'E,0.333333333,32.5
186,Ukraine,Kiev (Rus),50°30'N,30°28'E,50.5,30.46666667
187,United Arab Emirates,Abu Dhabi,24°28'N,54°22'E,24.46666667,54.36666667
188,United Kingdom,London,51°36'N,00°05'W,51.6,-0.083333333
189,Tanzania,Dodoma,06°08'S,35°45'E,-6.133333333,35.75
190,United States of America,Washington DC,39°91'N,77°02'W,42,-105
191,United States of Virgin Islands,Charlotte Amalie,18°21'N,64°56'W,18.35,-64.93333333
192,Uruguay,Montevideo,34°50'S,56°11'W,-34.83333333,-56.18333333
193,Uzbekistan,Tashkent,41°20'N,69°10'E,41.33333333,69.16666667
194,Vanuatu,Port-Vila,17°45'S,168°18'E,-17.75,168.3
195,Venezuela,Caracas,10°30'N,66°55'W,10.5,-66.91666667
196,Viet Nam,Hanoi,21°05'N,105°55'E,21.08333333,105.9166667
197,Yugoslavia,Belgrade,44°50'N,20°37'E,44.83333333,20.61666667
198,Zambia,Lusaka,15°28'S,28°16'E,-15.46666667,28.26666667
199,Zimbabwe,Harare,17°43'S,31°02'E,-17.71666667,31.03333333
200,Singapore,,,,1.357107,103.8194992
201,Mongolia,,,,46.8250388,103.8499736
202,Japan,,,,36.5748441,139.2394179
203,"Taipei, Chinese",,,,25.13596075,121.5389922
204,Gibraltar,,,,36.1285933,-5.3474761
205,South Korea,,,,36.638392,127.6961188
206,"Korea, Republic of",,,,36.638392,127.6961188
206,Trinidad and Tobago,,,,10.7466905,-61.0840075
207,Libya,,,,26.8234472,18.1236723
208,Eswatini,,,,-26.5624806,31.3991317
209,Morocco,,,,31.1728205,-7.3362482
211,"Hong Kong, China",,,,22.2793278,114.1628131
212,Sri Lanka,,,,7.87739585,80.66247852
213,Marshall Islands,,,,8.9995549,168.0002575
214,Yemen,,,,16.3471243,47.8915271
215,Free Zones,,,,5.57675525,-0.165311396
216,Serbia,,,,44.1534121,20.55144
